name,img,birth,death,address,latlngColumn,fields,works
人名,大頭,生,卒,位於,經緯(程式補完),領域,創作
張衡,http://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Zhang_Heng.jpg/225px-Zhang_Heng.jpg,78,139,南陽,"33.004722?? 112.5275",天文學、數學、地震學、水力學、幾何學、民族志、機械工程、農曆、形上學、詩歌,地震儀、水力、渾天儀、圓周率、詩歌、宇宙模型、月食、日食
祖沖之,http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/昆山亭林公园祖冲之像.jpg/300px-昆山亭林公园祖冲之像.jpg,429,500,范陽郡-遒縣,"37?? 113.5",天文學、數學、曆法、機械,圓周率、約率、密率、近似值、割圓術
李善蘭,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Li_Shanlan.jpg/300px-Li_Shanlan.jpg,1810,1882,浙江海寧縣-硤石鎮,"30.54?? 120.7",數學、翻譯,對數、微積分、李善蘭恆等式
阿基米德,http://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Domenico-Fetti_Archimedes_1620.jpg/200px-Domenico-Fetti_Archimedes_1620.jpg,-287,-212,敘拉古,"37.5?? 14",數學、物理學、工程學、天文學、發明,流體靜力學、槓桿原理、阿基米德螺線
賈比爾,http://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Jabir_ibn_Hayyan.jpg/220px-Jabir_ibn_Hayyan.jpg,721,851,波斯-圖斯,"36.454167?? 59.566944",煉金術、藥劑、哲學、天文學、占星、物理學,鹼、硝酸、王水、硝酸銀、氯化銨、升汞
花拉子米,http://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Abu_Abdullah_Muhammad_bin_Musa_al-Khwarizmi_edit.png/250px-Abu_Abdullah_Muhammad_bin_Musa_al-Khwarizmi_edit.png,780,850,波斯-花剌子模,"41.333333?? 61",數學、天文學、地理學,十進制、算法、代數、三角學、世界地圖
傑拉杜斯·麥卡托,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Mercator.jpg/200px-Mercator.jpg,1512,1594,比利時-佛蘭德,"51?? 4.5",地圖學、三角學、數學,麥卡托投影法
伽利略·伽利萊,http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Galileo.arp.300pix.jpg/225px-Galileo.arp.300pix.jpg,1564,1642,義大利佛羅倫斯公國比薩,"40.7?? 10.5",天文學、物理學、數學,運動科學、自由落體、慣性原理、望遠鏡、伽利略衛星、太陽黑子、日心說、圓規
約翰內斯·克卜勒,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Johannes_Kepler_1610.jpg/225px-Johannes_Kepler_1610.jpg,1571,1630,神聖羅馬帝國-威爾,"48.750833?? 8.870556",天文學、占星學、數學、物理學、自然哲學,星表、行星、克卜勒定律、克卜勒猜想
埃萬傑利斯塔·托里拆利,http://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Evangelista_Torricelli_-_Museo_di_Storia_Naturale_di_Firenze.JPG/220px-Evangelista_Torricelli_-_Museo_di_Storia_Naturale_di_Firenze.JPG,1608,1647,義大利法恩扎,"44.283333?? 11.883333",物理學、數學,拋體運動、擺線、望遠鏡、顯微鏡、氣壓計、真空、托里拆利定律、風
羅伯特·波義耳,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Robert_Boyle_0001.jpg/220px-Robert_Boyle_0001.jpg,1627,1691,愛爾蘭,"53.5?? -7.633333",化學,氣體、燃燒、波義耳定律、元素、真空
艾薩克·牛頓,http://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Sir_Isaac_Newton_by_Sir_Godfrey_Kneller%2C_Bt.jpg/280px-Sir_Isaac_Newton_by_Sir_Godfrey_Kneller%2C_Bt.jpg,1643,1727,英國英格蘭東密德蘭-林肯郡,"53.066667?? -0.183333",物理學、數學、天文學、鍊金術、自然哲學,牛頓力學、萬有引力、微分學、積分學、古典光學
哥特佛萊德·萊布尼茲,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Gottfried_Wilhelm_von_Leibniz.jpg/200px-Gottfried_Wilhelm_von_Leibniz.jpg,1646,1716,神聖羅馬帝國-萊比錫,"51.33?? 12.45",數學、哲學、物理學、機械、政治學、法學、倫理學、神學、哲學、歷史學、語言學,微積分、機率論、二進制、拓撲學
約翰·白努利,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Johann_Bernoulli.jpg/150px-Johann_Bernoulli.jpg,1677,1748,瑞士-巴塞爾,"47.5?? 7.6",數學,微積分、微分方程式
奧托·馮·格里克,http://upload.wikimedia.org/wikipedia/commons/2/2c/Guericke.png,1602,1686,德國-馬德堡,"52.133333?? 11.616667",物理學、政治,真空泵、馬德堡半球、真空
丹尼爾·白努利,http://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Danielbernoulli.jpg/225px-Danielbernoulli.jpg,1700,1782,荷蘭-格羅寧根,"53.216667?? 6.566667",物理學、數學、流體力學、醫學、經濟學、形上學、自然哲學,能量守恆、白努利方程式、風險趨避、邊際效用遞減
