name,img,birth,death,address,latlngColumn,fields,works,,,,,,
人名,大頭,生,卒,位於,經緯(程式補完),領域,創作,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
郭錫瑠,http://w3.tpsh.tp.edu.tw/khl/award/senior/1/images/eji.gif,1705,1765,台灣彰化,"24.08068?? 120.54208",水利,瑠公圳,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
莫罕達斯·卡拉姆昌德·甘地,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Portrait_Gandhi.jpg/200px-Portrait_Gandhi.jpg,1869,1948,印度-博爾本德爾,"21.63?? 69.6",法律、社會運動,非暴力、印度獨立運動,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
蔣渭水,http://upload.wikimedia.org/wikipedia/commons/9/9a/Chiang_Wei-shui.jpg,1891,1931,台灣宜蘭,"24.75181?? 121.75316",工運、政治、文化,臺灣民報、臺灣民眾黨、臺灣工友總聯盟、臺灣議會設置請願運動,,,,,,
林獻堂,http://upload.wikimedia.org/wikipedia/commons/9/9b/%E8%87%BA%E7%81%A3%E6%96%87%E5%8C%96%E8%88%87%E6%B0%91%E4%B8%BB%E9%81%8B%E5%8B%95%E9%A0%98%E8%A2%96%E6%9E%97%E7%8D%BB%E5%A0%82_Lin_Hsien-tang%2C_Leader_of_Taiwanese_Culture_and_Democracy_Movement.jpg,1881,1956,臺灣臺中霧峰,"24.061569?? 120.700203",,新民會、台灣文化協會、台灣民眾黨、台灣地方自治聯盟、台灣議會、台灣自治運動,,,,,,
馬丁·路德·金恩,http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Martin_Luther_King_Jr_NYWTS.jpg/220px-Martin_Luther_King_Jr_NYWTS.jpg,1929,1968,美國喬治亞州-亞特蘭大,"33.755?? -84.39",文化、社會運動,非暴力、非裔美國人民權運動,,,,,,
,,,,,,,,,,,,,
將經國,http://upload.wikimedia.org/wikipedia/commons/2/2d/Chiang_Ching-kuo_1948.jpg,1910,1988,浙江省奉化縣,"29.757469?? 121.434052",免費教育、工運、農運,贛南新政、民意直接交流平臺、打擊貪腐、十大建設、解嚴,,,,,,
,,,,,,,,,,,,,
施明德,http://upload.wikimedia.org/wikipedia/commons/5/5d/Shih_Ming-de_2006_Depose_Abian.jpg,1941,,台灣高雄市鹽埕區,"22.62459?? 120.28667",黨外民主運動,美麗島雜誌社、解除戒嚴運動、總統直選運動、大和解、反貪倒扁運動,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
翁山蘇姬,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Aung_San_Suu_Kyi.jpg/400px-Aung_San_Suu_Kyi.jpg,1945,,緬甸仰光,"16.99758?? 96.277099",民主運動,民主、自由、諾貝爾和平獎,,,,,,
,,,,,,,,,,,,,
艾未未,http://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Ai_weiwei-.jpg/550px-Ai_weiwei-.jpg,1957,,北京,"39.90469?? 116.40708",藝術家、異議人士,四川震災調查、民主運動,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
漢娜·鄂蘭,http://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Hannah_Arendt.jpg/400px-Hannah_Arendt.jpg,1906,1975,德國薩克森州林登市,"50.92818?? 13.45681",政治理論家,權力的本質、極權主義的起源、邪惡的平庸,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
高嘉良,http://nettuesday.tw/sites/nettuesday.tw/files/imagecache/user_image_large/6054_117453610667_7425310_a.jpg,1981,,台灣,"25.0374?? 121.56355",自由軟體、社群、公民運動,零時政府,,,,,,
